datetime,wtrhgtavg_obs,CR _length_krtobtm(mm),stickup_ht(mm),blttotp_well(mm),CR_zerotobtm(mm),wtrhgt_blwgrnd(mm)
4/22/2020 11:40,-49,1452,580,77,75,-923
4/22/2020 11:50,-49,1452,580,77,75,-923
4/22/2020 12:00,-49,1452,580,77,75,-923
4/22/2020 12:10,-49,1452,580,77,75,-923
4/22/2020 12:20,-49,1452,580,77,75,-923
4/22/2020 12:30,-49,1452,580,77,75,-923
4/22/2020 12:40,-49,1452,580,77,75,-923
4/22/2020 12:50,-49,1452,580,77,75,-923
4/22/2020 13:00,-49,1452,580,77,75,-923
4/22/2020 13:10,-49,1452,580,77,75,-923
4/22/2020 13:20,-49,1452,580,77,75,-923
4/22/2020 13:30,-49,1452,580,77,75,-923
4/22/2020 13:40,-49,1452,580,77,75,-923
4/22/2020 13:50,-49,1452,580,77,75,-923
4/22/2020 14:00,-49,1452,580,77,75,-923
4/22/2020 14:10,-49,1452,580,77,75,-923
4/22/2020 14:20,-49,1452,580,77,75,-923
4/22/2020 14:30,-49,1452,580,77,75,-923
4/22/2020 14:40,-49,1452,580,77,75,-923
4/22/2020 14:50,-49,1452,580,77,75,-923
4/22/2020 15:00,-49,1452,580,77,75,-923
4/22/2020 15:10,-49,1452,580,77,75,-923
4/22/2020 15:20,-49,1452,580,77,75,-923
4/22/2020 15:30,-49,1452,580,77,75,-923
4/22/2020 15:40,-49,1452,580,77,75,-923
4/22/2020 15:50,-49,1452,580,77,75,-923
4/22/2020 16:00,-49,1452,580,77,75,-923
4/22/2020 16:10,-49,1452,580,77,75,-923
4/22/2020 16:20,-49,1452,580,77,75,-923
4/22/2020 16:30,-49,1452,580,77,75,-923
4/22/2020 16:40,-49,1452,580,77,75,-923
4/22/2020 16:50,-49,1452,580,77,75,-923
4/22/2020 17:00,-49,1452,580,77,75,-923
4/22/2020 17:10,-49,1452,580,77,75,-923
4/22/2020 17:20,-49,1452,580,77,75,-923
4/22/2020 17:30,-49,1452,580,77,75,-923
4/22/2020 17:40,-49,1452,580,77,75,-923
4/22/2020 17:50,-49,1452,580,77,75,-923
4/22/2020 18:00,-49,1452,580,77,75,-923
4/22/2020 18:10,-49,1452,580,77,75,-923
4/22/2020 18:20,-49,1452,580,77,75,-923
4/22/2020 18:30,-49,1452,580,77,75,-923
4/22/2020 18:40,-49,1452,580,77,75,-923
4/22/2020 18:50,-49,1452,580,77,75,-923
4/22/2020 19:00,-49,1452,580,77,75,-923
4/22/2020 19:10,-49,1452,580,77,75,-923
4/22/2020 19:20,-49,1452,580,77,75,-923
4/22/2020 19:30,-49,1452,580,77,75,-923
4/22/2020 19:40,-49,1452,580,77,75,-923
4/22/2020 19:50,-49,1452,580,77,75,-923
4/22/2020 20:00,-49,1452,580,77,75,-923
4/22/2020 20:10,-49,1452,580,77,75,-923
4/22/2020 20:20,-49,1452,580,77,75,-923
4/22/2020 20:30,-49,1452,580,77,75,-923
4/22/2020 20:40,-49,1452,580,77,75,-923
4/22/2020 20:50,-49,1452,580,77,75,-923
4/22/2020 21:00,-49,1452,580,77,75,-923
4/22/2020 21:10,-49,1452,580,77,75,-923
4/22/2020 21:20,-49,1452,580,77,75,-923
4/22/2020 21:30,-49,1452,580,77,75,-923
4/22/2020 21:40,-49,1452,580,77,75,-923
4/22/2020 21:50,-49,1452,580,77,75,-923
4/22/2020 22:00,-49,1452,580,77,75,-923
4/22/2020 22:10,-49,1452,580,77,75,-923
4/22/2020 22:20,-49,1452,580,77,75,-923
4/22/2020 22:30,-49,1452,580,77,75,-923
4/22/2020 22:40,-49,1452,580,77,75,-923
4/22/2020 22:50,-49,1452,580,77,75,-923
4/22/2020 23:00,-49,1452,580,77,75,-923
4/22/2020 23:10,-49,1452,580,77,75,-923
4/22/2020 23:20,-49,1452,580,77,75,-923
4/22/2020 23:30,-49,1452,580,77,75,-923
4/22/2020 23:40,-49,1452,580,77,75,-923
4/22/2020 23:50,-49,1452,580,77,75,-923
4/23/2020 0:00,-49,1452,580,77,75,-923
4/23/2020 0:10,-49,1452,580,77,75,-923
4/23/2020 0:20,-49,1452,580,77,75,-923
4/23/2020 0:30,-49,1452,580,77,75,-923
4/23/2020 0:40,-49,1452,580,77,75,-923
4/23/2020 0:50,-49,1452,580,77,75,-923
4/23/2020 1:00,-49,1452,580,77,75,-923
4/23/2020 1:10,-49,1452,580,77,75,-923
4/23/2020 1:20,-49,1452,580,77,75,-923
4/23/2020 1:30,-49,1452,580,77,75,-923
4/23/2020 1:40,-49,1452,580,77,75,-923
4/23/2020 1:50,-49,1452,580,77,75,-923
4/23/2020 2:00,-49,1452,580,77,75,-923
4/23/2020 2:10,-49,1452,580,77,75,-923
4/23/2020 2:20,-49,1452,580,77,75,-923
4/23/2020 2:30,-49,1452,580,77,75,-923
4/23/2020 2:40,-49,1452,580,77,75,-923
4/23/2020 2:50,-49,1452,580,77,75,-923
4/23/2020 3:00,-49,1452,580,77,75,-923
4/23/2020 3:10,-49,1452,580,77,75,-923
4/23/2020 3:20,-49,1452,580,77,75,-923
4/23/2020 3:30,-49,1452,580,77,75,-923
4/23/2020 3:40,-49,1452,580,77,75,-923
4/23/2020 3:50,-49,1452,580,77,75,-923
4/23/2020 4:00,-49,1452,580,77,75,-923
4/23/2020 4:10,-49,1452,580,77,75,-923
4/23/2020 4:20,-49,1452,580,77,75,-923
4/23/2020 4:30,-49,1452,580,77,75,-923
4/23/2020 4:40,-49,1452,580,77,75,-923
4/23/2020 4:50,-49,1452,580,77,75,-923
4/23/2020 5:00,-49,1452,580,77,75,-923
4/23/2020 5:10,-49,1452,580,77,75,-923
4/23/2020 5:20,-49,1452,580,77,75,-923
4/23/2020 5:30,-49,1452,580,77,75,-923
4/23/2020 5:40,-49,1452,580,77,75,-923
4/23/2020 5:50,-49,1452,580,77,75,-923
4/23/2020 6:00,-49,1452,580,77,75,-923
4/23/2020 6:10,-49,1452,580,77,75,-923
4/23/2020 6:20,-49,1452,580,77,75,-923
4/23/2020 6:30,-49,1452,580,77,75,-923
4/23/2020 6:40,-49,1452,580,77,75,-923
4/23/2020 6:50,-49,1452,580,77,75,-923
4/23/2020 7:00,-49,1452,580,77,75,-923
4/23/2020 7:10,-49,1452,580,77,75,-923
4/23/2020 7:20,-49,1452,580,77,75,-923
4/23/2020 7:30,-49,1452,580,77,75,-923
4/23/2020 7:40,-49,1452,580,77,75,-923
4/23/2020 7:50,-49,1452,580,77,75,-923
4/23/2020 8:00,-49,1452,580,77,75,-923
4/23/2020 8:10,-49,1452,580,77,75,-923
4/23/2020 8:20,-49,1452,580,77,75,-923
4/23/2020 8:30,-49,1452,580,77,75,-923
4/23/2020 8:40,-49,1452,580,77,75,-923
4/23/2020 8:50,-49,1452,580,77,75,-923
4/23/2020 9:00,-49,1452,580,77,75,-923
4/23/2020 9:10,-49,1452,580,77,75,-923
4/23/2020 9:20,-49,1452,580,77,75,-923
4/23/2020 9:30,-49,1452,580,77,75,-923
4/23/2020 9:40,-49,1452,580,77,75,-923
4/23/2020 9:50,-49,1452,580,77,75,-923
4/23/2020 10:00,-49,1452,580,77,75,-923
4/23/2020 10:10,-49,1452,580,77,75,-923
4/23/2020 10:20,-49,1452,580,77,75,-923
4/23/2020 10:30,-49,1452,580,77,75,-923
4/23/2020 10:40,-49,1452,580,77,75,-923
4/23/2020 10:50,-49,1452,580,77,75,-923
4/23/2020 11:00,-49,1452,580,77,75,-923
4/23/2020 11:10,-49,1452,580,77,75,-923
4/23/2020 11:20,-49,1452,580,77,75,-923
4/23/2020 11:30,-49,1452,580,77,75,-923
4/23/2020 11:40,-49,1452,580,77,75,-923
4/23/2020 11:50,-49,1452,580,77,75,-923
4/23/2020 12:00,-49,1452,580,77,75,-923
4/23/2020 12:10,-49,1452,580,77,75,-923
4/23/2020 12:20,-49,1452,580,77,75,-923
4/23/2020 12:30,-49,1452,580,77,75,-923
4/23/2020 12:40,-49,1452,580,77,75,-923
4/23/2020 12:50,-49,1452,580,77,75,-923
4/23/2020 13:00,-49,1452,580,77,75,-923
4/23/2020 13:10,-49,1452,580,77,75,-923
4/23/2020 13:20,-49,1452,580,77,75,-923
4/23/2020 13:30,-49,1452,580,77,75,-923
4/23/2020 13:40,-49,1452,580,77,75,-923
4/23/2020 13:50,-49,1452,580,77,75,-923
4/23/2020 14:00,-49,1452,580,77,75,-923
4/23/2020 14:10,-49,1452,580,77,75,-923
4/23/2020 14:20,-49,1452,580,77,75,-923
4/23/2020 14:30,-49,1452,580,77,75,-923
4/23/2020 14:40,-49,1452,580,77,75,-923
4/23/2020 14:50,-49,1452,580,77,75,-923
4/23/2020 15:00,-49,1452,580,77,75,-923
4/23/2020 15:10,-49,1452,580,77,75,-923
4/23/2020 15:20,-49,1452,580,77,75,-923
4/23/2020 15:30,-49,1452,580,77,75,-923
4/23/2020 15:40,-49,1452,580,77,75,-923
4/23/2020 15:50,-49,1452,580,77,75,-923
4/23/2020 16:00,-49,1452,580,77,75,-923
4/23/2020 16:10,-49,1452,580,77,75,-923
4/23/2020 16:20,-49,1452,580,77,75,-923
4/23/2020 16:30,-49,1452,580,77,75,-923
4/23/2020 16:40,-49,1452,580,77,75,-923
4/23/2020 16:50,-49,1452,580,77,75,-923
4/23/2020 17:00,-49,1452,580,77,75,-923
4/23/2020 17:10,-49,1452,580,77,75,-923
4/23/2020 17:20,-49,1452,580,77,75,-923
4/23/2020 17:30,-49,1452,580,77,75,-923
4/23/2020 17:40,-49,1452,580,77,75,-923
4/23/2020 17:50,-49,1452,580,77,75,-923
4/23/2020 18:00,-49,1452,580,77,75,-923
4/23/2020 18:10,-49,1452,580,77,75,-923
4/23/2020 18:20,-49,1452,580,77,75,-923
4/23/2020 18:30,-49,1452,580,77,75,-923
4/23/2020 18:40,-49,1452,580,77,75,-923
4/23/2020 18:50,-49,1452,580,77,75,-923
4/23/2020 19:00,-49,1452,580,77,75,-923
4/23/2020 19:10,-49,1452,580,77,75,-923
4/23/2020 19:20,-49,1452,580,77,75,-923
4/23/2020 19:30,-49,1452,580,77,75,-923
4/23/2020 19:40,-49,1452,580,77,75,-923
4/23/2020 19:50,-49,1452,580,77,75,-923
4/23/2020 20:00,-49,1452,580,77,75,-923
4/23/2020 20:10,-49,1452,580,77,75,-923
4/23/2020 20:20,-49,1452,580,77,75,-923
4/23/2020 20:30,-49,1452,580,77,75,-923
4/23/2020 20:40,-49,1452,580,77,75,-923
4/23/2020 20:50,-49,1452,580,77,75,-923
4/23/2020 21:00,-49,1452,580,77,75,-923
4/23/2020 21:10,-49,1452,580,77,75,-923
4/23/2020 21:20,-49,1452,580,77,75,-923
4/23/2020 21:30,-49,1452,580,77,75,-923
4/23/2020 21:40,-49,1452,580,77,75,-923
4/23/2020 21:50,-49,1452,580,77,75,-923
4/23/2020 22:00,-49,1452,580,77,75,-923
4/23/2020 22:10,-49,1452,580,77,75,-923
4/23/2020 22:20,-49,1452,580,77,75,-923
4/23/2020 22:30,-49,1452,580,77,75,-923
4/23/2020 22:40,-49,1452,580,77,75,-923
4/23/2020 22:50,-49,1452,580,77,75,-923
4/23/2020 23:00,-49,1452,580,77,75,-923
4/23/2020 23:10,-49,1452,580,77,75,-923
4/23/2020 23:20,-49,1452,580,77,75,-923
4/23/2020 23:30,-49,1452,580,77,75,-923
4/23/2020 23:40,-49,1452,580,77,75,-923
4/23/2020 23:50,-49,1452,580,77,75,-923
4/24/2020 0:00,-49,1452,580,77,75,-923
4/24/2020 0:10,-49,1452,580,77,75,-923
4/24/2020 0:20,-49,1452,580,77,75,-923
4/24/2020 0:30,-49,1452,580,77,75,-923
4/24/2020 0:40,-49,1452,580,77,75,-923
4/24/2020 0:50,-49,1452,580,77,75,-923
4/24/2020 1:00,-49,1452,580,77,75,-923
4/24/2020 1:10,-49,1452,580,77,75,-923
4/24/2020 1:20,-49,1452,580,77,75,-923
4/24/2020 1:30,-49,1452,580,77,75,-923
4/24/2020 1:40,-49,1452,580,77,75,-923
4/24/2020 1:50,-49,1452,580,77,75,-923
4/24/2020 2:00,-49,1452,580,77,75,-923
4/24/2020 2:10,-49,1452,580,77,75,-923
4/24/2020 2:20,-49,1452,580,77,75,-923
4/24/2020 2:30,-49,1452,580,77,75,-923
4/24/2020 2:40,-49,1452,580,77,75,-923
4/24/2020 2:50,-49,1452,580,77,75,-923
4/24/2020 3:00,-49,1452,580,77,75,-923
4/24/2020 3:10,-49,1452,580,77,75,-923
4/24/2020 3:20,-49,1452,580,77,75,-923
4/24/2020 3:30,-49,1452,580,77,75,-923
4/24/2020 3:40,-49,1452,580,77,75,-923
4/24/2020 3:50,-49,1452,580,77,75,-923
4/24/2020 4:00,-49,1452,580,77,75,-923
4/24/2020 4:10,-49,1452,580,77,75,-923
4/24/2020 4:20,-49,1452,580,77,75,-923
4/24/2020 4:30,-49,1452,580,77,75,-923
4/24/2020 4:40,-49,1452,580,77,75,-923
4/24/2020 4:50,-49,1452,580,77,75,-923
4/24/2020 5:00,-49,1452,580,77,75,-923
4/24/2020 5:10,-49,1452,580,77,75,-923
4/24/2020 5:20,-49,1452,580,77,75,-923
4/24/2020 5:30,-49,1452,580,77,75,-923
4/24/2020 5:40,-49,1452,580,77,75,-923
4/24/2020 5:50,-49,1452,580,77,75,-923
4/24/2020 6:00,-49,1452,580,77,75,-923
4/24/2020 6:10,-49,1452,580,77,75,-923
4/24/2020 6:20,-49,1452,580,77,75,-923
4/24/2020 6:30,-49,1452,580,77,75,-923
4/24/2020 6:40,-49,1452,580,77,75,-923
4/24/2020 6:50,-49,1452,580,77,75,-923
4/24/2020 7:00,-49,1452,580,77,75,-923
4/24/2020 7:10,-49,1452,580,77,75,-923
4/24/2020 7:20,-49,1452,580,77,75,-923
4/24/2020 7:30,-49,1452,580,77,75,-923
4/24/2020 7:40,-49,1452,580,77,75,-923
4/24/2020 7:50,-49,1452,580,77,75,-923
4/24/2020 8:00,-49,1452,580,77,75,-923
4/24/2020 8:10,-49,1452,580,77,75,-923
4/24/2020 8:20,-49,1452,580,77,75,-923
4/24/2020 8:30,-49,1452,580,77,75,-923
4/24/2020 8:40,-49,1452,580,77,75,-923
4/24/2020 8:50,-49,1452,580,77,75,-923
4/24/2020 9:00,-49,1452,580,77,75,-923
4/24/2020 9:10,-49,1452,580,77,75,-923
4/24/2020 9:20,-49,1452,580,77,75,-923
4/24/2020 9:30,-49,1452,580,77,75,-923
4/24/2020 9:40,-49,1452,580,77,75,-923
4/24/2020 9:50,-49,1452,580,77,75,-923
4/24/2020 10:00,-49,1452,580,77,75,-923
4/24/2020 10:10,-49,1452,580,77,75,-923
4/24/2020 10:20,-49,1452,580,77,75,-923
4/24/2020 10:30,-49,1452,580,77,75,-923
4/24/2020 10:40,-49,1452,580,77,75,-923
4/24/2020 10:50,-49,1452,580,77,75,-923
4/24/2020 11:00,-49,1452,580,77,75,-923
4/24/2020 11:10,-49,1452,580,77,75,-923
4/24/2020 11:20,-49,1452,580,77,75,-923
4/24/2020 11:30,-49,1452,580,77,75,-923
4/24/2020 11:40,-49,1452,580,77,75,-923
4/24/2020 11:50,-49,1452,580,77,75,-923
4/24/2020 12:00,-49,1452,580,77,75,-923
4/24/2020 12:10,-49,1452,580,77,75,-923
4/24/2020 12:20,-49,1452,580,77,75,-923
4/24/2020 12:30,-49,1452,580,77,75,-923
4/24/2020 12:40,-49,1452,580,77,75,-923
4/24/2020 12:50,-49,1452,580,77,75,-923
4/24/2020 13:00,-49,1452,580,77,75,-923
4/24/2020 13:10,-49,1452,580,77,75,-923
4/24/2020 13:20,-49,1452,580,77,75,-923
4/24/2020 13:30,-49,1452,580,77,75,-923
4/24/2020 13:40,-49,1452,580,77,75,-923
4/24/2020 13:50,-49,1452,580,77,75,-923
4/24/2020 14:00,-49,1452,580,77,75,-923
4/24/2020 14:10,-49,1452,580,77,75,-923
4/24/2020 14:20,-49,1452,580,77,75,-923
4/24/2020 14:30,-49,1452,580,77,75,-923
4/24/2020 14:40,-49,1452,580,77,75,-923
4/24/2020 14:50,-49,1452,580,77,75,-923
4/24/2020 15:00,-49,1452,580,77,75,-923
4/24/2020 15:10,-49,1452,580,77,75,-923
4/24/2020 15:20,-49,1452,580,77,75,-923
4/24/2020 15:30,-49,1452,580,77,75,-923
4/24/2020 15:40,-49,1452,580,77,75,-923
4/24/2020 15:50,-49,1452,580,77,75,-923
4/24/2020 16:00,-49,1452,580,77,75,-923
4/24/2020 16:10,-49,1452,580,77,75,-923
4/24/2020 16:20,-49,1452,580,77,75,-923
4/24/2020 16:30,-49,1452,580,77,75,-923
4/24/2020 16:40,-49,1452,580,77,75,-923
4/24/2020 16:50,-49,1452,580,77,75,-923
4/24/2020 17:00,-49,1452,580,77,75,-923
4/24/2020 17:10,-49,1452,580,77,75,-923
4/24/2020 17:20,-49,1452,580,77,75,-923
4/24/2020 17:30,-49,1452,580,77,75,-923
4/24/2020 17:40,-49,1452,580,77,75,-923
4/24/2020 17:50,-49,1452,580,77,75,-923
4/24/2020 18:00,-49,1452,580,77,75,-923
4/24/2020 18:10,-49,1452,580,77,75,-923
4/24/2020 18:20,-49,1452,580,77,75,-923
4/24/2020 18:30,-49,1452,580,77,75,-923
4/24/2020 18:40,-49,1452,580,77,75,-923
4/24/2020 18:50,-49,1452,580,77,75,-923
4/24/2020 19:00,-49,1452,580,77,75,-923
4/24/2020 19:10,-49,1452,580,77,75,-923
4/24/2020 19:20,-49,1452,580,77,75,-923
4/24/2020 19:30,-49,1452,580,77,75,-923
4/24/2020 19:40,-49,1452,580,77,75,-923
4/24/2020 19:50,-49,1452,580,77,75,-923
4/24/2020 20:00,-49,1452,580,77,75,-923
4/24/2020 20:10,-49,1452,580,77,75,-923
4/24/2020 20:20,-49,1452,580,77,75,-923
4/24/2020 20:30,-49,1452,580,77,75,-923
4/24/2020 20:40,-49,1452,580,77,75,-923
4/24/2020 20:50,-49,1452,580,77,75,-923
4/24/2020 21:00,-49,1452,580,77,75,-923
4/24/2020 21:10,-49,1452,580,77,75,-923
4/24/2020 21:20,-49,1452,580,77,75,-923
4/24/2020 21:30,-49,1452,580,77,75,-923
4/24/2020 21:40,-49,1452,580,77,75,-923
4/24/2020 21:50,-49,1452,580,77,75,-923
4/24/2020 22:00,-49,1452,580,77,75,-923
4/24/2020 22:10,-49,1452,580,77,75,-923
4/24/2020 22:20,-49,1452,580,77,75,-923
4/24/2020 22:30,-49,1452,580,77,75,-923
4/24/2020 22:40,-49,1452,580,77,75,-923
4/24/2020 22:50,-49,1452,580,77,75,-923
4/24/2020 23:00,-49,1452,580,77,75,-923
4/24/2020 23:10,-49,1452,580,77,75,-923
4/24/2020 23:20,-49,1452,580,77,75,-923
4/24/2020 23:30,-49,1452,580,77,75,-923
4/24/2020 23:40,-49,1452,580,77,75,-923
4/24/2020 23:50,-49,1452,580,77,75,-923
4/25/2020 0:00,-49,1452,580,77,75,-923
4/25/2020 0:10,-49,1452,580,77,75,-923
4/25/2020 0:20,-49,1452,580,77,75,-923
4/25/2020 0:30,-49,1452,580,77,75,-923
4/25/2020 0:40,-49,1452,580,77,75,-923
4/25/2020 0:50,-49,1452,580,77,75,-923
4/25/2020 1:00,-49,1452,580,77,75,-923
4/25/2020 1:10,-49,1452,580,77,75,-923
4/25/2020 1:20,-49,1452,580,77,75,-923
4/25/2020 1:30,-49,1452,580,77,75,-923
4/25/2020 1:40,-49,1452,580,77,75,-923
4/25/2020 1:50,-49,1452,580,77,75,-923
4/25/2020 2:00,-49,1452,580,77,75,-923
4/25/2020 2:10,-49,1452,580,77,75,-923
4/25/2020 2:20,-49,1452,580,77,75,-923
4/25/2020 2:30,-49,1452,580,77,75,-923
4/25/2020 2:40,-49,1452,580,77,75,-923
4/25/2020 2:50,-49,1452,580,77,75,-923
4/25/2020 3:00,-49,1452,580,77,75,-923
4/25/2020 3:10,-49,1452,580,77,75,-923
4/25/2020 3:20,-49,1452,580,77,75,-923
4/25/2020 3:30,-49,1452,580,77,75,-923
4/25/2020 3:40,-49,1452,580,77,75,-923
4/25/2020 3:50,-49,1452,580,77,75,-923
4/25/2020 4:00,-49,1452,580,77,75,-923
4/25/2020 4:10,-49,1452,580,77,75,-923
4/25/2020 4:20,-49,1452,580,77,75,-923
4/25/2020 4:30,-49,1452,580,77,75,-923
4/25/2020 4:40,-49,1452,580,77,75,-923
4/25/2020 4:50,-49,1452,580,77,75,-923
4/25/2020 5:00,-49,1452,580,77,75,-923
4/25/2020 5:10,-49,1452,580,77,75,-923
4/25/2020 5:20,-49,1452,580,77,75,-923
4/25/2020 5:30,-49,1452,580,77,75,-923
4/25/2020 5:40,-49,1452,580,77,75,-923
4/25/2020 5:50,-49,1452,580,77,75,-923
4/25/2020 6:00,-49,1452,580,77,75,-923
4/25/2020 6:10,-49,1452,580,77,75,-923
4/25/2020 6:20,-49,1452,580,77,75,-923
4/25/2020 6:30,-49,1452,580,77,75,-923
4/25/2020 6:40,-49,1452,580,77,75,-923
4/25/2020 6:50,-49,1452,580,77,75,-923
4/25/2020 7:00,-49,1452,580,77,75,-923
4/25/2020 7:10,-49,1452,580,77,75,-923
4/25/2020 7:20,-49,1452,580,77,75,-923
4/25/2020 7:30,-49,1452,580,77,75,-923
4/25/2020 7:40,-49,1452,580,77,75,-923
4/25/2020 7:50,-49,1452,580,77,75,-923
4/25/2020 8:00,-49,1452,580,77,75,-923
4/25/2020 8:10,-49,1452,580,77,75,-923
4/25/2020 8:20,-49,1452,580,77,75,-923
4/25/2020 8:30,-49,1452,580,77,75,-923
4/25/2020 8:40,-49,1452,580,77,75,-923
4/25/2020 8:50,-49,1452,580,77,75,-923
4/25/2020 9:00,-49,1452,580,77,75,-923
4/25/2020 9:10,-49,1452,580,77,75,-923
4/25/2020 9:20,-49,1452,580,77,75,-923
4/25/2020 9:30,-49,1452,580,77,75,-923
4/25/2020 9:40,-49,1452,580,77,75,-923
4/25/2020 9:50,-49,1452,580,77,75,-923
4/25/2020 10:00,-49,1452,580,77,75,-923
4/25/2020 10:10,-49,1452,580,77,75,-923
4/25/2020 10:20,-49,1452,580,77,75,-923
4/25/2020 10:30,-49,1452,580,77,75,-923
4/25/2020 10:40,-49,1452,580,77,75,-923
4/25/2020 10:50,-49,1452,580,77,75,-923
4/25/2020 11:00,-49,1452,580,77,75,-923
4/25/2020 11:10,-49,1452,580,77,75,-923
4/25/2020 11:20,-49,1452,580,77,75,-923
4/25/2020 11:30,-49,1452,580,77,75,-923
4/25/2020 11:40,-49,1452,580,77,75,-923
4/25/2020 11:50,-49,1452,580,77,75,-923
4/25/2020 12:00,-49,1452,580,77,75,-923
4/25/2020 12:10,-49,1452,580,77,75,-923
4/25/2020 12:20,-49,1452,580,77,75,-923
4/25/2020 12:30,-49,1452,580,77,75,-923
4/25/2020 12:40,-49,1452,580,77,75,-923
4/25/2020 12:50,-49,1452,580,77,75,-923
4/25/2020 13:00,-49,1452,580,77,75,-923
4/25/2020 13:10,-49,1452,580,77,75,-923
4/25/2020 13:20,-49,1452,580,77,75,-923
4/25/2020 13:30,-49,1452,580,77,75,-923
4/25/2020 13:40,-49,1452,580,77,75,-923
4/25/2020 13:50,-49,1452,580,77,75,-923
4/25/2020 14:00,-49,1452,580,77,75,-923
4/25/2020 14:10,-49,1452,580,77,75,-923
4/25/2020 14:20,-49,1452,580,77,75,-923
4/25/2020 14:30,-49,1452,580,77,75,-923
4/25/2020 14:40,-49,1452,580,77,75,-923
4/25/2020 14:50,-49,1452,580,77,75,-923
4/25/2020 15:00,-49,1452,580,77,75,-923
4/25/2020 15:10,-49,1452,580,77,75,-923
4/25/2020 15:20,-49,1452,580,77,75,-923
4/25/2020 15:30,-49,1452,580,77,75,-923
4/25/2020 15:40,-49,1452,580,77,75,-923
4/25/2020 15:50,-49,1452,580,77,75,-923
4/25/2020 16:00,-49,1452,580,77,75,-923
4/25/2020 16:10,-49,1452,580,77,75,-923
4/25/2020 16:20,-49,1452,580,77,75,-923
4/25/2020 16:30,-49,1452,580,77,75,-923
4/25/2020 16:40,-49,1452,580,77,75,-923
4/25/2020 16:50,-49,1452,580,77,75,-923
4/25/2020 17:00,-49,1452,580,77,75,-923
4/25/2020 17:10,-49,1452,580,77,75,-923
4/25/2020 17:20,-49,1452,580,77,75,-923
4/25/2020 17:30,-49,1452,580,77,75,-923
4/25/2020 17:40,-49,1452,580,77,75,-923
4/25/2020 17:50,-49,1452,580,77,75,-923
4/25/2020 18:00,-49,1452,580,77,75,-923
4/25/2020 18:10,-49,1452,580,77,75,-923
4/25/2020 18:20,-49,1452,580,77,75,-923
4/25/2020 18:30,-49,1452,580,77,75,-923
4/25/2020 18:40,-49,1452,580,77,75,-923
4/25/2020 18:50,-49,1452,580,77,75,-923
4/25/2020 19:00,-49,1452,580,77,75,-923
4/25/2020 19:10,-49,1452,580,77,75,-923
4/25/2020 19:20,-49,1452,580,77,75,-923
4/25/2020 19:30,-49,1452,580,77,75,-923
4/25/2020 19:40,-49,1452,580,77,75,-923
4/25/2020 19:50,-49,1452,580,77,75,-923
4/25/2020 20:00,-49,1452,580,77,75,-923
4/25/2020 20:10,-49,1452,580,77,75,-923
4/25/2020 20:20,-49,1452,580,77,75,-923
4/25/2020 20:30,-49,1452,580,77,75,-923
4/25/2020 20:40,-49,1452,580,77,75,-923
4/25/2020 20:50,-49,1452,580,77,75,-923
4/25/2020 21:00,-49,1452,580,77,75,-923
4/25/2020 21:10,-49,1452,580,77,75,-923
4/25/2020 21:20,-49,1452,580,77,75,-923
4/25/2020 21:30,-49,1452,580,77,75,-923
4/25/2020 21:40,-49,1452,580,77,75,-923
4/25/2020 21:50,-49,1452,580,77,75,-923
4/25/2020 22:00,-49,1452,580,77,75,-923
4/25/2020 22:10,-49,1452,580,77,75,-923
4/25/2020 22:20,-49,1452,580,77,75,-923
4/25/2020 22:30,-49,1452,580,77,75,-923
4/25/2020 22:40,-49,1452,580,77,75,-923
4/25/2020 22:50,-49,1452,580,77,75,-923
4/25/2020 23:00,-49,1452,580,77,75,-923
4/25/2020 23:10,-49,1452,580,77,75,-923
4/25/2020 23:20,-49,1452,580,77,75,-923
4/25/2020 23:30,-49,1452,580,77,75,-923
4/25/2020 23:40,-49,1452,580,77,75,-923
4/25/2020 23:50,-49,1452,580,77,75,-923
4/26/2020 0:00,-49,1452,580,77,75,-923
4/26/2020 0:10,-49,1452,580,77,75,-923
4/26/2020 0:20,-49,1452,580,77,75,-923
4/26/2020 0:30,-49,1452,580,77,75,-923
4/26/2020 0:40,-49,1452,580,77,75,-923
4/26/2020 0:50,-49,1452,580,77,75,-923
4/26/2020 1:00,-49,1452,580,77,75,-923
4/26/2020 1:10,-49,1452,580,77,75,-923
4/26/2020 1:20,-49,1452,580,77,75,-923
4/26/2020 1:30,-49,1452,580,77,75,-923
4/26/2020 1:40,-49,1452,580,77,75,-923
4/26/2020 1:50,-49,1452,580,77,75,-923
4/26/2020 2:00,-49,1452,580,77,75,-923
4/26/2020 2:10,-49,1452,580,77,75,-923
4/26/2020 2:20,-49,1452,580,77,75,-923
4/26/2020 2:30,-49,1452,580,77,75,-923
4/26/2020 2:40,-49,1452,580,77,75,-923
4/26/2020 2:50,-49,1452,580,77,75,-923
4/26/2020 3:00,-49,1452,580,77,75,-923
4/26/2020 3:10,-49,1452,580,77,75,-923
4/26/2020 3:20,-49,1452,580,77,75,-923
4/26/2020 3:30,-49,1452,580,77,75,-923
4/26/2020 3:40,-49,1452,580,77,75,-923
4/26/2020 3:50,-49,1452,580,77,75,-923
4/26/2020 4:00,-49,1452,580,77,75,-923
4/26/2020 4:10,-49,1452,580,77,75,-923
4/26/2020 4:20,-49,1452,580,77,75,-923
4/26/2020 4:30,-49,1452,580,77,75,-923
4/26/2020 4:40,-49,1452,580,77,75,-923
